strategy,lambda,runs,mean_success,std_success,mean_detection,std_detection
RingPatrol,0.1,5,0.0038047169850374736,0.0021926331461748316,1.8,2.874021572639983
RingPatrol,0.3,5,0.003457083636163169,0.002835112468207977,1.8733333333333335,2.505496180621936
RingPatrol,0.5,5,0.005542138652330865,0.0025847265671481417,2.031550802139037,1.427990579344476
CounterPhasePatrol,0.1,5,0.06396081103511245,0.014173466690728087,4.153659533869429,1.7241315905351449
CounterPhasePatrol,0.3,5,0.06242583045313325,0.011898642920005384,2.8210930717209903,1.346645468828799
CounterPhasePatrol,0.5,5,0.06453917026813855,0.012056372125299147,3.1808547156651534,1.6902178959223566
AsyncPatrol,0.1,5,0.0037935851941377297,0.002558216249179953,0.7666666666666667,0.9752492558885196
AsyncPatrol,0.3,5,0.0034082441364574273,0.0033516835278175196,1.0666666666666669,1.3727506854649334
AsyncPatrol,0.5,5,0.003914017574337874,0.0017069760767572178,2.3511111111111114,1.4648743257097028
RingPatrol,0.1,5,0.02911420251143725,0.007411233187670886,469.3940170940171,221.98388873533415
RingPatrol,0.3,5,0.024949407315510493,0.0047198988561812805,676.0974558371735,95.39732165327743
RingPatrol,0.5,5,0.023454077995369926,0.002916442537574683,565.4484659805196,153.6944916251046
CounterPhasePatrol,0.1,5,0.026680624708611676,0.006806655976997716,669.0111111111112,237.4011773609088
CounterPhasePatrol,0.3,5,0.02426085218417809,0.006631609273071742,651.7112426788898,99.50377929727472
CounterPhasePatrol,0.5,5,0.026001276669543244,0.0046073671602685,743.0448573731525,128.70673428705808
AsyncPatrol,0.1,5,0.7582034621386351,0.06154735312086585,381.8168598473946,30.77642162644548
AsyncPatrol,0.3,5,0.7440690585139884,0.09073361783753776,299.4635030758362,14.729833015753318
AsyncPatrol,0.5,5,0.722755739018674,0.04266762931438463,346.94823624249426,54.266906641883196
