total_attacks,intercepted,missed,success_rate,avg_detection_time
1086,5,1070,0.004604051565377533,0.0
1099,3,1079,0.00272975432211101,6.0
1021,5,0,0.004897159647404506,2.4
1021,5,0,0.004897159647404506,2.4
1063,4,0,0.0037629350893697085,3.0
1037,2,0,0.0019286403085824494,1.5
1037,2,0,0.0019286403085824494,1.5
1034,0,0,0.0,0.0
1034,0,0,0.0,0.0
1028,0,0,0.0,0.0
1037,0,0,0.0,0.0
1037,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,0,0,0.0,0.0
1021,536,0,0.524975514201763,262.73320895522386
1038,936,0,0.9017341040462428,193.4145299145299
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2094,2087,0,0.9966571155682904,211.20603737422138
2117,2071,0,0.9782711384034011,161.0738773539353
2117,2071,0,0.9782711384034011,161.0738773539353
2117,2071,0,0.9782711384034011,161.0738773539353
2117,67,0,0.03164855928200284,114.5223880597015
2117,67,0,0.03164855928200284,114.5223880597015
